Title,PackageName,URL,Publisher,PrintISSN,OnlineISSN,ManagedCoverageBegin,ManagedCoverageEnd,0
Journal of medicinal chemistry,ACS Legacy Archives,https://pubs.acs.org/loi/jmcmar,American Chemical Society,0022-2623,1520-4804,1959-02-01,1995-12-01,1164
Accounts of chemical research,ACS Legacy Archives,https://pubs.acs.org/loi/achre4,American Chemical Society,0001-4842,1520-4898,1968-01-01,1995-12-01,1168
Analytical chemistry,ACS Legacy Archives,https://pubs.acs.org/loi/ancham,American Chemical Society,0003-2700,1520-6882,1929-01-01,1995-12-01,1204
Biochemistry (ACS),ACS Legacy Archives,https://pubs.acs.org/loi/bichaw,American Chemical Society,0006-2960,1520-4995,1962-01-01,1995-12-01,1170
Bioconjugate chemistry,ACS Legacy Archives,https://pubs.acs.org/loi/bcches,American Chemical Society,1043-1802,1520-4812,1990-01-01,1995-11-01,1166
Chemical Research in Toxicology,ACS Legacy Archives,https://pubs.acs.org/loi/crtoec,American Chemical Society,0893-228X,1520-5010,1988-01-01,1995-12-01,1174
Chemical reviews,ACS Legacy Archives,https://pubs.acs.org/loi/chreay,American Chemical Society,0009-2665,1520-6890,1924-04-01,1995-12-01,1206
Chemistry of materials,ACS Legacy Archives,https://pubs.acs.org/loi/cmatex,American Chemical Society,0897-4756,1520-5002,1989-01-01,1995-12-01,1172
Energy & fuels,ACS Legacy Archives,https://pubs.acs.org/loi/enfuem,American Chemical Society,0887-0624,1520-5029,1987-01-01,1995-11-01,1176
Environmental Science & Technology,ACS Legacy Archives,https://pubs.acs.org/loi/esthag,American Chemical Society,0013-936X,1520-5851,1967-01-01,1995-12-01,1196
I&EC Product Research and Development,ACS Legacy Archives,https://pubs.acs.org/loi/iepra6.2,American Chemical Society,0536-1079,1943-2976,1962-03-01,1968-12-01,5108
Industrial & Engineering Chemistry,ACS Legacy Archives,https://pubs.acs.org/loi/iechad,American Chemical Society,0019-7866,1541-5724,1923-01-01,1970-12-01,1442
Industrial & Engineering Chemistry (Analytical Edition),ACS Legacy Archives,https://pubs.acs.org/loi/iecac0,American Chemical Society,0096-4484,1541-4655,1929-01-01,1946-12-01,1438
Industrial & Engineering Chemistry Chemical & Engineering Data Series,ACS Legacy Archives,https://pubs.acs.org/loi/iecjc0,American Chemical Society,0095-9146,1541-5759,1956-01-01,1958-10-01,1446
Industrial & Engineering Chemistry Fundamentals,ACS Legacy Archives,https://pubs.acs.org/loi/iecfa7,American Chemical Society,0196-4313,1541-4833,1962-02-01,1986-11-01,1439
Industrial & Engineering Chemistry Process Design and Development,ACS Legacy Archives,https://pubs.acs.org/loi/iepdaw,American Chemical Society,0196-4305,1541-5716,1962-01-01,1986-10-01,1441
Industrial & Engineering Chemistry Product Research and Development,ACS Legacy Archives,https://pubs.acs.org/loi/iepra6,American Chemical Society,0196-4321,1541-4841,1978-03-01,1986-12-01,1440
Industrial & engineering chemistry research,ACS Legacy Archives,https://pubs.acs.org/loi/iecred,American Chemical Society,0888-5885,1520-5045,1962-02-01,1995-12-01,1178
Inorganic chemistry,ACS Legacy Archives,https://pubs.acs.org/loi/inocaj,American Chemical Society,0020-1669,1520-510X,1962-02-01,1995-12-01,1180
Journal of agricultural and food chemistry,ACS Legacy Archives,https://pubs.acs.org/loi/jafcau,American Chemical Society,0021-8561,1520-5118,1953-04-01,1995-12-01,1182
Journal of Chemical and Engineering Data,ACS Legacy Archives,https://pubs.acs.org/loi/jceaax,American Chemical Society,0021-9568,1520-5134,1956-01-01,1995-11-01,1186
Journal of chemical documentation,ACS Legacy Archives,https://pubs.acs.org/loi/jci001,American Chemical Society,0021-9576,1541-5732,1961-01-01,1974-11-01,1443
Journal of Chemical Information and Computer Sciences,ACS Legacy Archives,https://pubs.acs.org/loi/jcics1,American Chemical Society,0095-2338,1520-5142,1975-02-01,1995-12-31,1188
Journal of chemical information and modeling,ACS Legacy Archives,https://pubs.acs.org/loi/jcisd8,American Chemical Society,1549-9596,1549-960X,1961-01-01,1995-12-31,1482
Journal of Industrial and Engineering Chemistry (American Chemical Society),ACS Legacy Archives,https://pubs.acs.org/loi/iechad.1,American Chemical Society,0095-9014,1943-2968,1909-01-01,1922-12-01,5107
Journal of medicinal and pharmaceutical chemistry,ACS Legacy Archives,https://pubs.acs.org/loi/jmcmar.1,American Chemical Society,0095-9065,1943-2992,1959-02-01,1962-11-01,5109
Journal of Natural Products,ACS Legacy Archives,https://pubs.acs.org/loi/jnprdf,American Chemical Society,0163-3864,1520-6025,1979-01-01,1995-12-01,1199
Journal of Physical & Colloid Chemistry,ACS Legacy Archives,https://pubs.acs.org/loi/jpchax.1,American Chemical Society,0092-7023,1943-3018,1947-01-01,1950-09-01,5111
Journal of the American Chemical Society,ACS Legacy Archives,https://pubs.acs.org/loi/jacsat,American Chemical Society,0002-7863,1520-5126,1879-01-01,1995-12-01,1184
Langmuir,ACS Legacy Archives,https://pubs.acs.org/loi/langd5,American Chemical Society,0743-7463,1520-5827,1985-01-01,1995-12-01,1192
Macromolecules,ACS Legacy Archives,https://pubs.acs.org/loi/mamobx,American Chemical Society,0024-9297,1520-5835,1968-01-01,1995-12-01,1194
Organometallics,ACS Legacy Archives,https://pubs.acs.org/loi/orgnd7,American Chemical Society,0276-7333,1520-6041,1995-01-01,1995-12-01,1201
The Journal of Organic Chemistry,ACS Legacy Archives,https://pubs.acs.org/loi/joceah,American Chemical Society,0022-3263,1520-6904,1936-03-01,1995-12-01,1208
The Journal of Physical Chemistry,ACS Legacy Archives,https://pubs.acs.org/loi/jpchax,American Chemical Society,0022-3654,1541-5740,1951-01-01,1995-12-31,1444
The Journal of Physical Chemistry,ACS Legacy Archives,https://pubs.acs.org/loi/jpchax.2,American Chemical Society,0092-7325,1943-300X,1896-10-01,1946-06-01,5110